ID,Name,Type,Category,Power,Accuracy,PP,Priority,Crit,MoveType
125,Water Shuriken,Water,Special,15,100,20,1,0,Normal
126,Sparkling Aria,Water,Special,90,100,10,0,0,Normal
,Breakneck Blitz,Normal,-,180,0,1,0,0,Z-Move
,All-Out Pummeling,Fighting,-,180,0,1,0,0,Z-Move
,Supersonic Skystrike,Flying,-,180,0,1,0,0,Z-Move
,Continental Crush,Rock,-,180,0,1,0,0,Z-Move
,Never-Ending Nightmare,Ghost,-,180,0,1,0,0,Z-Move
,Corkscrew Crash,Steel,-,180,0,1,0,0,Z-Move
,Inferno Overdrive,Fire,-,180,0,1,0,0,Z-Move
,Hydro Vortex,Water,-,180,0,1,0,0,Z-Move
,Bloom Doom,Grass,-,180,0,1,0,0,Z-Move
,Gigavolt Havoc,Electric,-,180,0,1,0,0,Z-Move
,Shattered Psyche,Psychic,-,180,0,1,0,0,Z-Move
,Subzero Slammer,Ice,-,180,0,1,0,0,Z-Move
,Devastating Drake,Dragon,-,180,0,1,0,0,Z-Move
,Black Hole Eclipse,Dark,-,180,0,1,0,0,Z-Move
,Twinkle Tackle,Fairy,-,180,0,1,0,0,Z-Move
,Catastropika,Electric,Physical,210,0,1,0,0,Z-Move-Special
,"10,000,000 Volt Thunderbolt",Electric,Special,195,0,1,0,0,Z-Move-Special
,Sinister Arrow Raid,Ghost,Physical,180,0,1,0,0,Z-Move-Special
,Malicious Moonsault,Dark,Physical,180,0,1,0,0,Z-Move-Special
,Oceanic Operetta,Water,Special,195,0,1,0,0,Z-Move-Special
,Splintered Stormshards,Rock,Physical,190,0,1,0,0,Z-Move-Special
,Clangorous Soulblaze,Dragon,Special,185,0,1,0,0,Z-Move-Special
,Genesis Supernova,Psychic,Special,185,0,1,0,0,Z-Move-Special
,Pulverizing Pancake,Normal,Physical,210,0,1,0,0,Z-Move-Special
,Extreme Evoboost,Normal,Status,0,0,1,0,0,Z-Move-Special
,Max Strike,Normal,-,130,0,1,0,0,Max-Move
,Max Knuckle,Fighting,-,130,0,1,0,0,Max-Move
,Max Airstream,Flying,-,130,0,1,0,0,Max-Move
,Max Rockfall,Rock,-,130,0,1,0,0,Max-Move
,Max Phantasm,Ghost,-,130,0,1,0,0,Max-Move
,Max Steelspike,Steel,-,130,0,1,0,0,Max-Move
,Max Flare,Fire,-,130,0,1,0,0,Max-Move
,Max Geyser,Water,-,130,0,1,0,0,Max-Move
,Max Overgrowth,Grass,-,130,0,1,0,0,Max-Move
,Max Lightning,Electric,-,130,0,1,0,0,Max-Move
,Max Mindstorm,Psychic,-,130,0,1,0,0,Max-Move
,Max Hailstorm,Ice,-,130,0,1,0,0,Max-Move
,Max Wyrmwind,Dragon,-,130,0,1,0,0,Max-Move
,Max Darkness,Dark,-,130,0,1,0,0,Max-Move
,Max Starfall,Fairy,-,130,0,1,0,0,Max-Move
,Max Quake,Ground,-,130,0,1,0,0,Max-Move
,G-Max Wildfire,Fire,-,150,0,1,0,0,G-Max
,G-Max Chi Strike,Fighting,-,130,0,1,0,0,G-Max
,G-Max Volt Crash,Electric,-,130,0,1,0,0,G-Max
,G-Max Cuddle,Normal,-,130,0,1,0,0,G-Max
,G-Max One Blow,Dark,-,150,0,1,0,0,G-Max
